ID#,Name,Primary
1012241,Brian Snyder
1004480,Gussie Gannon
1012471,Randy Stein
1008075,Ramon Manon
1012614,Elmer Stricklett
1008105,Joe Margoneri
1014214,George Woodend
1010891,Frank Riccelli
1000583,Ed Barnowski
11827,Steve Delabar
1003230,John DeSilva
851,Jay Tessmer
1008191,Phonney Martin
1008087,Moxie Manuel
1007465,Sang-Hoon Lee
1004213,Davy Force
1011596,Karl Schnell
1012283,Vic Sorrell
1003090,Bill Dawley
1010089,John Pawlowski
1007981,Roy Mahaffey
1004377,Charlie Frye
1008838,John Michaelson
1012175,Lee Smith
1009134,Bob Moose
3840,Zach Duke
439,Kent Mercker
1008135,Cuddles Marshall
1012021,George Sisler
13125,Gerrit Cole
1003341,Ray Dobens
1008521,Randy McGilberry
1013185,Joe Trimble
1011951,Sonny Siebert
1011432,Jack Sanford
1735,Les Walrond
1010471,Nels Potter
2902,Kelvin Jimenez
9404,Daniel Stange
1000546,Len Barker
1012030,Joe Skalski
1014395,Larry Yount
904,Chad Bradford
1005708,Manny Hernandez
1003938,Mike Farmer
1010766,Howie Reed
1010011,Jim Park
1928,Jim Crowell
1001581,Mike Bruhert
1011688,Lefty Scott
1000323,Brad Arnsberg
1009933,John Pacella
10131,Stephen Strasburg
4100,Osiris Matos
1000268,Norm Angelini
1008103,Johnny Marcum
1009905,Dave Otto
1012590,Dick Strahs
7474,Ryan Webb
1003983,Stan Ferens
1013801,Huyler Westervelt
1012278,Don Songer
1007309,Jerry Lane
4140,Jose Mijares
1001856,Ernie Camacho
2557,Juan Perez
1007511,Dave Lemanczyk
2169,Ezequiel Astacio
1001544,Mark Brownson
1014340,Stan Yerkes
1001392,Tom Brennan
1003506,Michael Driscoll
1013001,Art Thompson
1007350,Steve Larkin
1008252,Troy Mattes
6035,David Murphy
1008518,Bill McGill
1012591,Mike Strahler
1005330,Snipe Hansen
1005400,Bob Harris
9195,Vic Black
1001212,Chris Bosio
7988,Joe Winkelsas
3240,Zach Britton
1518,Duaner Sanchez
1009365,John Murphy
1008553,Deacon McGuire
1003472,Tom Dozier
1009325,Les Munns
1001542,Mark Brown
1003573,Jack Dunn
1000890,Victor Bernal
1006421,Augie Johns
1002372,Andy Coakley
5525,Boone Logan
1002032,Charlie Case
3926,Casey Fien
