Date,Team,Opp,BO,Pos,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+
2015-07-17,LAD,@WSN,6,RF,4,2,0,0,0,0,0,0,0,25.0 %,0.0 %,.000,.667,.667,.750,.667,.612,305
2015-07-12,LAD,MIL,6,RF,4,0,0,0,0,0,0,0,0,0.0 %,50.0 %,.000,.000,.000,.000,.000,.000,-100
2015-07-11,LAD,MIL,6,RF,3,0,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.000,.000,.000,.000,.000,-100
2015-07-10,LAD,MIL,6,RF,4,0,0,0,0,0,0,1,0,25.0 %,50.0 %,.000,.000,.000,.250,.000,.172,4
2015-07-09,LAD,PHI,6,RF,4,2,1,0,1,1,4,0,0,0.0 %,25.0 %,1.000,.500,.500,.500,1.500,.830,455
2015-07-08,LAD,PHI,1,RF,5,0,0,0,0,0,0,0,0,0.0 %,20.0 %,.000,.000,.000,.000,.000,.000,-100
2015-07-07,LAD,PHI,6,RF,4,1,0,0,0,0,0,0,0,0.0 %,0.0 %,.000,.250,.250,.250,.250,.220,37
2015-07-06,LAD,PHI,6,RF,5,2,1,0,0,2,0,0,0,0.0 %,20.0 %,.200,.500,.400,.400,.600,.427,179
2015-07-05,LAD,NYM,5,RF,4,0,0,0,0,0,0,0,0,0.0 %,50.0 %,.000,.000,.000,.000,.000,.000,-100
2015-07-04,LAD,NYM,5,RF,4,1,1,0,0,1,0,0,0,25.0 %,25.0 %,.333,.500,.333,.500,.667,.486,219
2015-07-03,LAD,NYM,5,RF,4,0,0,0,0,0,0,0,0,0.0 %,25.0 %,.000,.000,.000,.000,.000,.000,-100
2015-07-01,LAD,@ARI,4,RF,4,1,0,0,0,0,0,0,0,25.0 %,50.0 %,.000,1.000,.333,.500,.333,.392,155
2015-06-30,LAD,@ARI,5,RF,5,2,1,0,0,1,0,0,0,0.0 %,20.0 %,.200,.500,.400,.400,.600,.427,179
2015-06-29,LAD,@ARI,5,RF,5,0,0,0,0,0,0,0,0,20.0 %,20.0 %,.000,.000,.000,.200,.000,.137,-20
2015-06-28,LAD,@MIA,4,RF,5,0,0,0,0,0,0,0,0,60.0 %,20.0 %,.000,.000,.000,.600,.000,.343,121
